id,Clone,Treatment,group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
1,1,C,1_C,-0.020010896,0.009906179,0.007390692,-0.002388401,-0.002913516,-0.001206608,-0.008040483,0.003020996,0.001525428,0.007345479,-0.003338696,0.001277836,-0.000514372,-0.000464052,0.005479585,-0.005172014,-0.003052786,-0.001980543,5.9873894181086e-05,-0.00085374,0.000635081
2,11,C,11_C,-0.00562792,-0.003673682,0.014769773,-4.24E-05,-0.001384237,-0.006145195,-0.003744381,-0.002408955,-0.003411985,-0.002042446,-0.000863987,-0.00427033,-0.002222113,-0.001871149,2.16674015111206e-05,-0.000551255,0.000457328,-0.000649143,0.001139418,-0.000483339,-0.004104722
3,12,C,12_C,-0.03113728,0.005517259,0.009201656,-0.006857157,0.003030843,0.003768227,0.005549789,0.005602475,-0.004527346,0.002714509,0.000838923,0.002728958,0.001711366,0.001737482,0.002694153,0.001407061,0.001966592,0.00073688,0.004265956,0.00101198,-0.000348868
4,13,C,13_C,0.01431654,0.022808233,0.010177936,-0.009218002,0.004737947,0.002958565,0.003096668,-0.004002203,-0.003322175,0.004240674,0.00579111,-0.003856965,0.001057063,-0.002679719,-0.002214381,-0.003047924,-0.003173633,-0.002095465,-0.003289966,-0.000873828,-0.000818448
5,14,C,14_C,-0.006491794,-0.030566056,0.008894995,-0.003541402,-0.004017229,-0.00199118,0.006324536,0.003891666,-0.003768824,-0.005105319,-0.003841842,-0.002370941,0.000546298,-0.002070677,0.003441059,0.00035844,-0.000946874,-0.001047497,-0.000273273,0.001857164,0.000184401
6,16,C,16_C,-0.008542071,-0.013947218,-0.012347578,-0.014486768,-0.009228639,0.005753714,-0.002159628,-0.00207012,0.000714309,-0.009590725,0.002101242,0.003745316,-0.000342728,0.003447775,-0.003263179,-0.002647035,0.000359054,0.000189657,-0.001111902,-0.000284105,0.000519269
7,17,C,17_C,-0.020420116,0.008875432,0.006046509,0.006274487,-0.001281334,0.000279682,-0.000588666,0.005835901,0.003877224,0.004049431,-0.00253153,0.005683658,0.000101633,-0.001892941,-0.004395959,0.002035884,-0.001877484,-0.000615344,-0.001697297,0.00200194,0.000638573
8,18,C,18_C,0.018421447,-0.036035561,-0.010153547,0.024624174,0.011445835,-0.00623451,0.005026653,0.004593166,-0.011142658,0.001457564,0.001954074,0.005637919,0.000644411,-0.000789336,-0.002750914,-0.000534328,0.002394406,0.000153718,-0.00212992,4.92256018680507e-05,0.000340426
9,19,C,19_C,-0.029494217,-0.007772616,0.013197121,-0.008450314,-0.015433749,0.000190892,0.011295147,-0.010729258,-0.005947599,0.000498354,0.005904056,6.25644371422915e-05,-0.000382842,-0.000203725,-0.00058601,0.003104986,-0.000843113,0.001415384,0.00047527,-0.001486746,0.000826111
10,2,C,2_C,0.066160015,0.009980714,-0.001683791,0.007028908,-0.007958258,0.012814077,-0.002791677,0.001456941,-0.00787072,-0.004057007,-0.007236765,0.000387667,-0.002808499,-0.001775507,0.000630651,-0.001646852,7.41431975480995e-05,-3.78E-05,-3.45E-05,9.12123423751443e-06,7.52818977039123e-05
11,20,C,20_C,-0.019931578,0.021603118,-0.029163697,-0.007530699,0.002381366,0.000878623,0.002604502,0.007362717,0.003427731,-0.006059072,0.002456426,-0.004203451,-0.0007081,0.000171047,-0.000329732,-0.001178178,-0.001740702,-0.000920251,-0.000599681,0.000889584,0.000172106
12,21,C,21_C,-0.009770805,-0.014428127,0.007713603,-0.001838333,-0.005850449,0.003726793,0.001968619,-0.001693283,0.003137588,-0.000658176,-0.003654919,0.007716698,-0.000361994,-0.00497812,-0.00303101,-0.002420037,0.000428615,-0.00165751,0.001967972,0.000154903,-0.001321245
13,24,C,24_C,0.001353263,-0.020496272,0.008220613,-0.001209972,-0.01284134,-0.010518984,-0.007359152,0.002969566,0.004567778,0.001822749,-0.001933471,0.000992554,0.001924442,0.004210965,0.001879628,0.001001105,-0.001041506,-0.001628904,-0.002581793,-0.000736291,0.001160163
14,25,C,25_C,-0.027654405,0.00189304,0.005309014,-0.000194882,0.006466275,0.003555654,0.005325632,0.000885225,0.005134478,0.002998909,-0.004091482,-0.004741934,-0.001214074,-0.00181103,-0.000412111,-0.003638481,0.001196373,0.003853302,-0.00255926,0.001813686,0.000155463
15,26,C,26_C,0.028639005,0.001759793,0.014867112,-0.013925328,0.00270981,0.007309785,0.000606654,0.000588331,-0.002979474,-0.000136829,0.000454214,0.002702669,0.000413274,0.007207356,0.000849202,-0.003849799,-0.000878919,0.00403938,-0.001377789,0.000667614,-0.000756662
16,27,C,27_C,-0.007311234,-0.003826101,0.00908303,0.007213479,-0.005146861,-0.008838612,-0.004893392,-0.004996613,-0.003468202,-0.003451415,0.000725937,-0.0048306,0.005616225,-0.003184378,-0.003644951,0.001043083,-0.004156279,0.000955721,0.00024083,0.001152023,0.000426033
17,28,C,28_C,-0.009685192,0.001959253,0.009467967,-0.007445842,0.005153513,-0.002947075,-0.004087593,-0.007698356,0.000512057,-0.00122095,-0.003816503,0.003558652,0.004407555,-0.003801742,0.002157929,0.000580313,0.002921088,0.003676962,-0.002609262,-0.001779568,-6.55E-05
18,3,C,3_C,-0.003668,-0.028291404,-0.001361101,-0.008483315,0.003728333,0.019834692,-0.004148994,0.002099127,0.000594,0.007419087,-0.004734075,-0.00283741,0.0019479,0.00116553,-0.000528304,0.006032756,-0.002901956,-0.001674916,0.000106946,-0.000211304,-0.000531799
19,4,C,4_C,-0.010356273,0.022981575,0.010264995,0.002953799,0.001064969,-0.003435744,-0.006522348,0.004892979,0.005772579,-0.005243555,0.002781525,0.005654358,-0.005317987,-0.002450471,-3.09E-05,0.002917616,0.000258266,0.001580266,0.000447908,0.000905816,0.000250579
20,9,C,9_C,-0.005158973,-0.002142112,-0.006235273,0.018471966,0.004188773,0.006781013,0.004152375,-0.004770654,0.000811164,0.007575563,0.004136174,0.001463936,-0.001028003,-0.000856659,0.001600513,0.001211904,-0.001333981,7.7736546984872e-05,-0.00061799,0.000317222,0.000283506
21,1,G,1_G,0.00801022,-0.011630185,-0.012280623,0.014089342,0.008647713,0.007024387,0.007300751,-0.011436022,0.009918764,-0.009025255,-0.000844777,-0.000282536,0.003686169,0.003355458,0.001063418,-0.000494682,-0.001384856,-0.001232377,0.001205814,0.000485819,-0.000418248
22,11,G,11_G,0.042668445,-0.001326829,0.004912199,-0.011794886,0.011042814,-0.008925314,0.008496846,0.000647309,0.003068916,0.00175763,-0.000764286,-0.004804507,-0.0032246,-0.00099122,-0.000679874,0.001640091,0.004046818,-0.002587793,-0.000271142,-0.000357403,0.000263404
23,12,G,12_G,0.012997815,0.012747728,0.013424146,-0.021540267,0.006378148,0.006812757,0.002359934,-0.001083232,-0.002675316,-0.004423987,0.000796963,0.000956057,0.0030178,-0.00380272,0.000164002,0.000846899,0.001199388,-0.001643913,0.00134459,0.000220811,0.002106255
24,13,G,13_G,0.003382787,-0.028577782,-0.017337091,-0.012419763,-0.008655078,0.005874604,0.001752962,0.007384501,0.004196143,0.003773193,0.009366523,-0.000877179,-0.000535091,-0.002656552,0.003492372,-0.0011658,0.004241676,4.16125983696986e-05,-0.000641213,7.2957590181157e-05,-0.000302227
25,14,G,14_G,0.076231263,0.002572322,0.006617681,0.002322177,-0.010425076,-0.007841177,0.003391144,0.003762009,0.009873883,0.001979909,0.002627496,-0.000379437,0.004010824,-0.000916122,-0.001271593,0.000476339,-0.001050325,0.000312303,0.001045206,0.000284296,4.42720861843706e-05
26,16,G,16_G,-0.029218983,0.009163645,0.007363357,-0.002865453,0.004177632,-0.006562056,0.009279872,0.000993313,0.000404873,-0.003421316,-0.00106946,0.001876724,-0.003321384,0.005109907,0.000899464,0.003302768,-0.001130581,-0.00187424,-0.002540963,-0.001009334,-0.000966533
27,17,G,17_G,0.014010204,-0.0125582,0.001539581,0.002477865,0.016569121,-0.003371011,-0.009171143,-0.000749141,-0.002421009,-0.003517322,0.002895189,0.000578569,0.000148332,0.001913561,0.003762553,0.001680254,-0.001310438,-0.001036978,-0.000342962,0.001055399,-9.96E-05
28,18,G,18_G,-0.014670606,-0.000883316,0.011574166,0.000350801,-0.001917824,-0.008274583,-4.14E-06,-0.004829978,-0.001159067,0.004673392,0.000344867,-0.00329673,0.000176168,0.003498713,-0.001131224,-0.002433959,0.002162845,0.000213698,0.001795217,0.003473042,0.000175972
29,19,G,19_G,0.013653062,-0.004926244,-0.033090517,-0.023940047,0.000301281,-0.015262271,-0.005638385,2.59808980539201e-05,-0.004017862,0.001906315,-0.004275758,0.001842445,0.000169722,0.000683158,0.000724001,0.001769803,-0.0009927,0.001309141,0.001231696,-6.22E-05,-0.000450062
30,2,G,2_G,0.031799118,0.04201966,0.006788776,0.009437671,-0.00589449,0.000591343,0.009006437,0.00093401,-0.002268121,0.003288458,-0.001369018,0.001151854,-0.001384281,0.003882557,0.000921977,0.002797509,-7.99E-05,0.001221974,0.000747698,-0.000237092,0.000213562
31,20,G,20_G,-0.008526491,0.011448757,-0.00394701,0.004283805,0.001057992,0.005941162,-0.013835886,0.003386778,0.000657943,0.000129752,-2.54E-05,-0.006111944,0.003589766,0.002066476,-0.004154023,0.003381865,0.004757484,0.002304275,-0.00012336,-0.000763331,3.08972974033624e-05
32,21,G,21_G,0.003609359,-0.033052959,-0.002683501,0.004905866,0.005582311,-0.00264523,0.001923907,0.000162021,0.003641812,0.002393718,-0.000977409,-0.003378162,-0.006400263,0.000693013,-0.00265639,-0.002198681,-0.003552776,0.003710236,0.003224241,-0.002347701,0.001291651
33,24,G,24_G,0.003838293,0.007073219,-0.003871545,0.014537688,-0.003453515,0.000623127,-0.011606766,-0.01426746,-0.000622325,0.001552256,0.002768775,-4.56E-05,-0.001249239,0.000667157,0.004502697,-0.000978146,0.002720617,-0.001674276,0.00065443,0.000397475,0.000928761
34,25,G,25_G,-0.009025271,0.018318655,-0.028917843,-0.000416961,-0.000783322,-0.000572732,-0.002659578,0.001287591,-0.006003369,0.00405319,0.003005708,0.002519324,0.002783518,0.002241745,-0.004422685,-0.002427486,-0.000930388,-0.001806893,0.001221111,-0.000104975,-0.000594744
35,26,G,26_G,0.007207745,-0.001008953,0.007240876,-0.002635754,0.002539787,0.00328093,-0.011054672,-0.004356002,0.003694483,-0.000139155,0.004043593,0.001872274,-0.007595727,-0.000766703,-0.002754455,0.001510936,-0.000272268,-0.00034573,-5.85E-05,0.000109023,-0.000711462
36,27,G,27_G,-0.01794424,-0.000120053,-0.003471262,0.018816756,-0.016976062,0.002706943,0.000907301,0.006136073,-0.004164051,-0.004688637,-0.001807232,-0.005447734,-0.003294215,0.000328283,0.000779301,0.000345147,0.001755968,-0.000825847,-0.001013597,-0.000239058,9.3180281201667e-05
37,28,G,28_G,-0.006922262,0.019314198,-0.042229883,0.000487798,-0.001963334,-0.002079745,0.006240376,-0.007911151,0.001078558,0.002029185,-0.004654984,3.46594448393958e-05,-0.001177514,-0.003832471,0.002393694,0.001602363,-0.000347301,0.001491225,-0.000598695,0.000161369,-0.000129609
38,3,G,3_G,-0.023012755,0.00801227,0.007007772,-0.000797261,0.007098028,-0.002100559,0.000763052,-0.00071714,-1.48E-05,-4.44E-05,-0.005032191,-0.001213101,-0.000729211,0.00142758,-0.003463065,-0.002792272,0.003282785,-0.003344753,0.001047953,-0.001770816,0.001789325
39,4,G,4_G,-0.009799286,0.011928863,0.004904666,0.009013633,0.008587566,-0.00071101,-0.002772378,0.010647055,-0.003466049,-0.005161827,0.004319169,-0.001557979,0.00170265,-0.002736528,0.003430976,-0.000606879,-0.003147586,0.001421877,0.001421862,-0.001464657,0.000586746
40,9,G,9_G,-0.011917932,0.005379757,0.002796025,0.014733017,-0.000765745,-0.001043374,0.003706103,0.00515384,0.006641225,0.000328109,-0.000448206,0.002061872,0.00615712,0.00072406,0.000831876,-0.00126331,0.001922857,-2.52E-05,0.000829025,-0.002024953,-0.001571267
